"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L1260","UNKNOWN","com.serotonin.mango.DataTypes.UNKNOWN;I","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","26","5","26","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L211","BINARY","com.serotonin.mango.DataTypes.BINARY;I","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","27","5","27","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1261","MULTISTATE","com.serotonin.mango.DataTypes.MULTISTATE;I","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","28","5","28","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L217","NUMERIC","com.serotonin.mango.DataTypes.NUMERIC;I","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","29","5","29","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","ALPHANUMERIC","com.serotonin.mango.DataTypes.ALPHANUMERIC;I","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","30","5","30","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L879","IMAGE","com.serotonin.mango.DataTypes.IMAGE;I","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","31","5","31","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L852","CODES","com.serotonin.mango.DataTypes.CODES;Lcom/serotonin/mango/util/ExportCodes;","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","49","5","49","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5790","serialVersionUID","com.serotonin.mango.ImageSaveException.serialVersionUID;J","L3047","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\ImageSaveException.java","25","5","25","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5802","log","com.serotonin.mango.MangoContextListener.log;LLog;","L5797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","74","5","74","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L131","LOG","br.org.scadabr.rt.dataSource.dnp3.Dnp3DataSource.LOG;LLog;","L127","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\dnp3\Dnp3DataSource.java","23","5","23","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L137","POINT_READ_EXCEPTION_EVENT","br.org.scadabr.rt.dataSource.dnp3.Dnp3DataSource.POINT_READ_EXCEPTION_EVENT;I","L127","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\dnp3\Dnp3DataSource.java","25","5","25","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L141","DATA_SOURCE_EXCEPTION_EVENT","br.org.scadabr.rt.dataSource.dnp3.Dnp3DataSource.DATA_SOURCE_EXCEPTION_EVENT;I","L127","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\dnp3\Dnp3DataSource.java","26","5","26","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L142","dnp3Master","br.org.scadabr.rt.dataSource.dnp3.Dnp3DataSource.dnp3Master;LDNP3Master;","L127","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\dnp3\Dnp3DataSource.java","28","5","28","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L143","vo","br.org.scadabr.rt.dataSource.dnp3.Dnp3DataSource.vo;Lbr/org/scadabr/vo/dataSource/dnp3/Dnp3DataSourceVO;","L127","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\dnp3\Dnp3DataSource.java","29","5","29","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L268","configuration","br.org.scadabr.rt.dataSource.dnp3.Dnp3IpDataSource.configuration;Lbr/org/scadabr/vo/dataSource/dnp3/Dnp3IpDataSourceVO;","L267","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\dnp3\Dnp3IpDataSource.java","8","2","8","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L286","vo","br.org.scadabr.rt.dataSource.dnp3.Dnp3PointLocatorRT.vo;Lbr/org/scadabr/vo/dataSource/dnp3/Dnp3PointLocatorVO;","L282","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\dnp3\Dnp3PointLocatorRT.java","8","5","8","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L300","configuration","br.org.scadabr.rt.dataSource.dnp3.Dnp3SerialDataSource.configuration;Lbr/org/scadabr/vo/dataSource/dnp3/Dnp3SerialDataSourceVO;","L299","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\dnp3\Dnp3SerialDataSource.java","8","5","8","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L317","LOG","br.org.scadabr.rt.dataSource.opc.OPCDataSourceRT.LOG;LLog;","L316","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\opc\OPCDataSourceRT.java","22","5","22","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L320","POINT_READ_EXCEPTION_EVENT","br.org.scadabr.rt.dataSource.opc.OPCDataSourceRT.POINT_READ_EXCEPTION_EVENT;I","L316","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\opc\OPCDataSourceRT.java","23","5","23","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L321","DATA_SOURCE_EXCEPTION_EVENT","br.org.scadabr.rt.dataSource.opc.OPCDataSourceRT.DATA_SOURCE_EXCEPTION_EVENT;I","L316","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\opc\OPCDataSourceRT.java","24","5","24","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L322","POINT_WRITE_EXCEPTION_EVENT","br.org.scadabr.rt.dataSource.opc.OPCDataSourceRT.POINT_WRITE_EXCEPTION_EVENT;I","L316","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\opc\OPCDataSourceRT.java","25","5","25","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L323","opcMaster","br.org.scadabr.rt.dataSource.opc.OPCDataSourceRT.opcMaster;LOPCMaster;","L316","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\opc\OPCDataSourceRT.java","26","5","26","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L324","vo","br.org.scadabr.rt.dataSource.opc.OPCDataSourceRT.vo;Lbr/org/scadabr/vo/dataSource/opc/OPCDataSourceVO;","L316","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\opc\OPCDataSourceRT.java","27","5","27","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L328","initiate","br.org.scadabr.rt.dataSource.opc.OPCDataSourceRT.initiate;Ljava/lang/Boolean;","L316","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\opc\OPCDataSourceRT.java","28","5","28","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L388","vo","br.org.scadabr.rt.dataSource.opc.OPCPointLocatorRT.vo;Lbr/org/scadabr/vo/dataSource/opc/OPCPointLocatorVO;","L387","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\rt\dataSource\opc\OPCPointLocatorRT.java","8","5","8","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L432","EVENT_CODES","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.EVENT_CODES;Lcom/serotonin/mango/util/ExportCodes;","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","34","5","34","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L447","synchPeriods","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.synchPeriods;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","50","5","51","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L448","staticPollPeriods","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.staticPollPeriods;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","52","5","53","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L449","rbePeriodType","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.rbePeriodType;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","54","5","54","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L450","rbePollPeriods","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.rbePollPeriods;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","55","5","56","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L451","timeout","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.timeout;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","57","5","58","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L452","retries","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.retries;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","59","5","60","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L453","sourceAddress","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.sourceAddress;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","61","5","62","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L454","slaveAddress","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.slaveAddress;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","63","5","64","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L505","serialVersionUID","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.serialVersionUID;J","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","176","5","176","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L506","version","br.org.scadabr.vo.dataSource.dnp3.Dnp3DataSourceVO.version;I","L145","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3DataSourceVO.java","177","5","177","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L572","TYPE","br.org.scadabr.vo.dataSource.dnp3.Dnp3IpDataSourceVO.TYPE;Lcom/serotonin/mango/vo/dataSource/DataSourceVO$Type;","L269","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3IpDataSourceVO.java","24","5","24","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L579","host","br.org.scadabr.vo.dataSource.dnp3.Dnp3IpDataSourceVO.host;Ljava/lang/String;","L269","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3IpDataSourceVO.java","41","5","42","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L581","port","br.org.scadabr.vo.dataSource.dnp3.Dnp3IpDataSourceVO.port;I","L269","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3IpDataSourceVO.java","43","5","44","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L602","serialVersionUID","br.org.scadabr.vo.dataSource.dnp3.Dnp3IpDataSourceVO.serialVersionUID;J","L269","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3IpDataSourceVO.java","76","5","76","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L603","version","br.org.scadabr.vo.dataSource.dnp3.Dnp3IpDataSourceVO.version;I","L269","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3IpDataSourceVO.java","77","5","77","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L621","BINARY_INPUT","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.BINARY_INPUT;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","24","5","24","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L622","BINARY_OUTPUT","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.BINARY_OUTPUT;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","25","5","25","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L623","RUNNING_COUNTER","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.RUNNING_COUNTER;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","26","5","26","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L624","ANALOG_INPUT","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.ANALOG_INPUT;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","27","5","27","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L625","ANALOG_OUTPUT","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.ANALOG_OUTPUT;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","28","5","28","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L626","SBO","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.SBO;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","30","5","30","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L627","DIRECT","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.DIRECT;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","31","5","31","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L628","DIRECT_NO_ACK","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.DIRECT_NO_ACK;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","32","5","32","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L629","CLOSE_TRIP","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.CLOSE_TRIP;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","34","5","34","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L630","PULSE","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.PULSE;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","35","5","35","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L631","LATCH","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.LATCH;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","36","5","36","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L638","dnp3DataType","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.dnp3DataType;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","57","5","58","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L642","index","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.index;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","59","5","60","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L643","multiplier","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.multiplier;D","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","61","5","62","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L647","additive","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.additive;D","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","63","5","64","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L648","operateMode","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.operateMode;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","66","5","67","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L650","controlCommand","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.controlCommand;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","69","5","70","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L652","timeOn","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.timeOn;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","72","5","73","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L653","timeOff","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.timeOff;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","75","5","76","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L654","settable","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.settable;Z","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","78","5","79","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L688","serialVersionUID","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.serialVersionUID;J","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","163","5","163","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L689","version","br.org.scadabr.vo.dataSource.dnp3.Dnp3PointLocatorVO.version;I","L178","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3PointLocatorVO.java","164","5","164","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L715","TYPE","br.org.scadabr.vo.dataSource.dnp3.Dnp3SerialDataSourceVO.TYPE;Lcom/serotonin/mango/vo/dataSource/DataSourceVO$Type;","L301","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3SerialDataSourceVO.java","24","5","24","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L719","commPortId","br.org.scadabr.vo.dataSource.dnp3.Dnp3SerialDataSourceVO.commPortId;Ljava/lang/String;","L301","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3SerialDataSourceVO.java","41","5","42","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L727","baudRate","br.org.scadabr.vo.dataSource.dnp3.Dnp3SerialDataSourceVO.baudRate;I","L301","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3SerialDataSourceVO.java","43","5","44","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L738","serialVersionUID","br.org.scadabr.vo.dataSource.dnp3.Dnp3SerialDataSourceVO.serialVersionUID;J","L301","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3SerialDataSourceVO.java","77","5","77","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L739","version","br.org.scadabr.vo.dataSource.dnp3.Dnp3SerialDataSourceVO.version;I","L301","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\dnp3\Dnp3SerialDataSourceVO.java","78","5","78","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L758","TYPE","br.org.scadabr.vo.dataSource.opc.OPCDataSourceVO.TYPE;Lcom/serotonin/mango/vo/dataSource/DataSourceVO$Type;","L325","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\opc\OPCDataSourceVO.java","30","5","30","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L763","EVENT_CODES","br.org.scadabr.vo.dataSource.opc.OPCDataSourceVO.EVENT_CODES;Lcom/serotonin/mango/util/ExportCodes;","L325","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\opc\OPCDataSourceVO.java","42","5","42","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L775","updatePeriodType","br.org.scadabr.vo.dataSource.opc.OPCDataSourceVO.updatePeriodType;I","L325","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\br\org\scadabr\vo\dataSource\opc\OPCDataSourceVO.java","74","5","74","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
