"ID","Name","LongName","Parent","CLOC","LLOC","LOC","McCC","PDA","PUA"
"L18778","WatchList.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/WatchList.java","L18769","0","133","187","20","2","14"
"L26014","ContextWrapper.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/web/ContextWrapper.java","L26013","0","95","137","9","0","17"
"L123","Dnp3DataSource.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/rt/dataSource/dnp3/Dnp3DataSource.java","L122","0","128","152","15","0","4"
"L124","Dnp3IpDataSource.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/rt/dataSource/dnp3/Dnp3IpDataSource.java","L122","0","19","24","1","0","3"
"L125","Dnp3PointLocatorRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/rt/dataSource/dnp3/Dnp3PointLocatorRT.java","L122","0","16","23","1","0","4"
"L126","Dnp3SerialDataSource.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/rt/dataSource/dnp3/Dnp3SerialDataSource.java","L122","0","19","25","1","0","3"
"L314","OPCDataSourceRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/rt/dataSource/opc/OPCDataSourceRT.java","L313","0","119","136","11","0","5"
"L315","OPCPointLocatorRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/rt/dataSource/opc/OPCPointLocatorRT.java","L313","0","16","23","1","0","4"
"L402","Dnp3DataSourceVO.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/vo/dataSource/dnp3/Dnp3DataSourceVO.java","L401","0","200","241","13","0","22"
"L403","Dnp3IpDataSourceVO.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/vo/dataSource/dnp3/Dnp3IpDataSourceVO.java","L401","0","82","105","5","0","11"
"L404","Dnp3PointLocatorVO.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/vo/dataSource/dnp3/Dnp3PointLocatorVO.java","L401","0","165","238","5","0","27"
"L405","Dnp3SerialDataSourceVO.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/vo/dataSource/dnp3/Dnp3SerialDataSourceVO.java","L401","0","82","107","4","0","11"
"L752","OPCDataSourceVO.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/vo/dataSource/opc/OPCDataSourceVO.java","L751","0","186","229","8","0","23"
"L753","OPCPointLocatorVO.java","C:/Users/meet/Desktop/semProject/mangoSource/src/br/org/scadabr/vo/dataSource/opc/OPCPointLocatorVO.java","L751","0","100","121","4","0","14"
"L1370","BaseDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/BaseDao.java","L1369","0","36","74","4","1","1"
"L1371","CompoundEventDetectorDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/CompoundEventDetectorDao.java","L1369","0","85","127","3","1","7"
"L1372","DataPointDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/DataPointDao.java","L1369","0","447","592","40","2","21"
"L1373","DataSourceDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/DataSourceDao.java","L1369","0","148","203","6","0","10"
"L1374","EventDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/EventDao.java","L1369","0","533","683","58","1","35"
"L1375","MailingListDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/MailingListDao.java","L1369","0","165","224","12","1","9"
"L1376","MaintenanceEventDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/MaintenanceEventDao.java","L1369","0","127","144","4","0","9"
"L1377","PointLinkDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/PointLinkDao.java","L1369","0","74","114","3","1","8"
"L1378","PointValueDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/PointValueDao.java","L1369","0","559","711","66","3","22"
"L1379","PublisherDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/PublisherDao.java","L1369","0","77","114","3","1","10"
"L1380","ReportDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/ReportDao.java","L1369","0","427","546","35","1","20"
"L1381","ScheduledEventDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/ScheduledEventDao.java","L1369","0","118","156","3","1","7"
"L1382","SystemSettingsDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/SystemSettingsDao.java","L1369","0","169","248","12","0","13"
"L1383","UserCommentRowMapper.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/UserCommentRowMapper.java","L1369","0","17","40","1","0","2"
"L1384","UserDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/UserDao.java","L1369","0","177","230","6","0","11"
"L1385","ViewDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/ViewDao.java","L1369","0","150","215","5","0","12"
"L1386","WatchListDao.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/dao/WatchListDao.java","L1369","0","148","214","5","4","10"
"L4747","DBUpgrade.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/DBUpgrade.java","L4746","0","80","141","11","1","1"
"L4748","Upgrade0_10_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade0_10_0.java","L4746","0","20","51","1","1","1"
"L4749","Upgrade0_7_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade0_7_0.java","L4746","0","384","484","35","1","2"
"L4750","Upgrade0_8_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade0_8_0.java","L4746","0","10","35","1","1","1"
"L4751","Upgrade0_8_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade0_8_1.java","L4746","0","38","76","1","1","1"
"L4752","Upgrade0_9_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade0_9_0.java","L4746","0","24","55","1","1","1"
"L4753","Upgrade0_9_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade0_9_1.java","L4746","0","22","53","1","1","1"
"L4754","Upgrade0_9_2.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade0_9_2.java","L4746","0","89","132","2","1","1"
"L4755","Upgrade1_0_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_0_0.java","L4746","0","20","51","1","1","1"
"L4756","Upgrade1_0_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_0_1.java","L4746","0","117","166","7","1","1"
"L4757","Upgrade1_10_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_10_0.java","L4746","0","150","203","2","1","1"
"L4758","Upgrade1_11_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_11_0.java","L4746","0","14","39","1","1","1"
"L4759","Upgrade1_11_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_11_1.java","L4746","0","22","52","1","1","1"
"L4760","Upgrade1_11_2.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_11_2.java","L4746","0","14","39","1","1","1"
"L4761","Upgrade1_12_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_12_0.java","L4746","0","14","39","1","1","1"
"L4762","Upgrade1_12_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_12_1.java","L4746","0","19","46","1","1","1"
"L4763","Upgrade1_12_2.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_12_2.java","L4746","0","14","39","1","1","1"
"L4764","Upgrade1_1_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_1_0.java","L4746","0","30","62","1","1","1"
"L4765","Upgrade1_1_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_1_1.java","L4746","0","108","160","4","1","1"
"L4766","Upgrade1_2_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_2_0.java","L4746","0","20","51","1","1","1"
"L4767","Upgrade1_2_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_2_1.java","L4746","0","20","51","1","1","1"
"L4768","Upgrade1_2_2.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_2_2.java","L4746","0","20","51","1","1","1"
"L4769","Upgrade1_2_3.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_2_3.java","L4746","0","10","35","1","1","1"
"L4770","Upgrade1_3_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_3_0.java","L4746","0","31","63","1","1","1"
"L4771","Upgrade1_4_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_4_0.java","L4746","0","10","35","1","1","1"
"L4772","Upgrade1_4_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_4_1.java","L4746","0","10","35","1","1","1"
"L4773","Upgrade1_4_2.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_4_2.java","L4746","0","32","64","1","1","1"
"L4774","Upgrade1_5_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_5_0.java","L4746","0","241","304","14","1","1"
"L4775","Upgrade1_6_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_6_0.java","L4746","0","41","80","2","1","1"
"L4776","Upgrade1_6_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_6_1.java","L4746","0","26","57","1","1","1"
"L4777","Upgrade1_6_2.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_6_2.java","L4746","0","40","75","1","1","1"
"L4778","Upgrade1_6_3.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_6_3.java","L4746","0","31","65","1","1","1"
"L4779","Upgrade1_6_4.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_6_4.java","L4746","0","40","76","1","1","1"
"L4780","Upgrade1_7_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_7_0.java","L4746","0","85","126","1","1","1"
"L4781","Upgrade1_8_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_8_0.java","L4746","0","14","40","1","1","1"
"L4782","Upgrade1_8_1.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_8_1.java","L4746","0","14","40","1","1","1"
"L4783","Upgrade1_8_2.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_8_2.java","L4746","0","14","40","1","1","1"
"L4784","Upgrade1_8_3.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_8_3.java","L4746","0","99","146","7","1","1"
"L4785","Upgrade1_9_0.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/upgrade/Upgrade1_9_0.java","L4746","0","130","170","1","1","1"
"L6113","AnnotatedPointValueTime.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/AnnotatedPointValueTime.java","L6112","0","51","108","6","1","8"
"L6114","DataPointEventMulticaster.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/DataPointEventMulticaster.java","L6112","0","83","126","13","1","9"
"L6115","DataPointListener.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/DataPointListener.java","L6112","0","9","65","1","6","1"
"L6116","DataPointRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/DataPointRT.java","L6112","0","368","524","69","5","24"
"L6117","HistoricalDataPoint.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/HistoricalDataPoint.java","L6112","0","56","71","1","0","12"
"L6118","IDataPoint.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/IDataPoint.java","L6112","0","13","45","1","1","9"
"L6119","IdPointValueTime.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/IdPointValueTime.java","L6112","0","13","37","1","0","3"
"L6120","PointValueCache.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/PointValueCache.java","L6112","0","90","160","18","2","5"
"L6121","PointValueFacade.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/PointValueFacade.java","L6112","0","44","76","7","1","7"
"L6122","PointValueTime.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/PointValueTime.java","L6112","0","75","120","7","1","16"
"L6123","PvtTimeComparator.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/PvtTimeComparator.java","L6112","0","13","37","3","1","1"
"L6124","SetPointSource.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataImage/SetPointSource.java","L6112","0","12","43","1","1","4"
"L6933","DataSourceRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataSource/DataSourceRT.java","L6932","0","93","182","6","3","10"
"L6934","DataSourceUtils.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataSource/DataSourceUtils.java","L6932","0","102","140","23","1","3"
"L6935","EventDataSource.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataSource/EventDataSource.java","L6932","0","29","57","1","0","5"
"L6936","NoMatchException.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataSource/NoMatchException.java","L6932","0","9","31","1","0","2"
"L6937","PointLocatorRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataSource/PointLocatorRT.java","L6932","0","7","33","1","1","2"
"L6938","PollingDataSource.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/dataSource/PollingDataSource.java","L6932","0","99","142","9","1","6"
"L11918","AlarmLevels.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/event/AlarmLevels.java","L11917","0","42","67","6","0","3"
"L11919","EventDetector.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/event/EventDetector.java","L11917","0","4","27","1","1","1"
"L11920","EventDetectorListener.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/event/EventDetectorListener.java","L11917","0","5","29","1","1","2"
"L11921","EventInstance.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/event/EventInstance.java","L11917","0","192","310","15","1","41"
"L11922","SimpleEventDetector.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/event/SimpleEventDetector.java","L11917","0","25","57","3","1","4"
"L13778","PointLinkRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/link/PointLinkRT.java","L13777","0","133","199","11","3","11"
"L13839","BackgroundProcessing.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/maint/BackgroundProcessing.java","L13838","0","82","126","16","1","5"
"L13840","DataPurge.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/maint/DataPurge.java","L13838","0","100","160","10","0","3"
"L13841","MemoryCheck.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/maint/MemoryCheck.java","L13838","0","24","57","1","2","3"
"L13842","VersionCheck.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/maint/VersionCheck.java","L13838","0","189","264","31","2","4"
"L13843","WorkItemMonitor.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/maint/WorkItemMonitor.java","L13838","0","45","61","3","1","2"
"L14364","PublishedPointRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/publish/PublishedPointRT.java","L14363","0","45","81","3","1","10"
"L14365","PublisherRT.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/publish/PublisherRT.java","L14363","0","152","222","17","3","6"
"L14366","PublishQueue.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/publish/PublishQueue.java","L14363","0","56","90","8","1","6"
"L14367","PublishQueueEntry.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/publish/PublishQueueEntry.java","L14363","0","17","44","1","1","3"
"L14368","SendThread.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/publish/SendThread.java","L14363","0","50","64","4","0","6"
"L15736","StripEntities.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/mindprod/StripEntities.java","L15735","0","555","2161","49","14","0"
"L15859","DummyServletContext.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/test/DummyServletContext.java","L15858","0","110","184","1","1","25"
"L15923","ModelTimeoutClient.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/timeout/ModelTimeoutClient.java","L15922","0","4","6","1","0","2"
"L15924","ModelTimeoutTask.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/timeout/ModelTimeoutTask.java","L15922","0","26","34","1","0","4"
"L15925","TimeoutClient.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/timeout/TimeoutClient.java","L15922","0","4","24","1","0","2"
"L15926","TimeoutTask.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/timeout/TimeoutTask.java","L15922","0","24","32","1","0","4"
"L15982","BaseChartRenderer.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/chart/BaseChartRenderer.java","L15981","0","92","140","13","1","6"
"L15983","ChartRenderer.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/chart/ChartRenderer.java","L15981","0","14","39","1","0","4"
"L15984","ImageChartRenderer.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/chart/ImageChartRenderer.java","L15981","0","38","76","1","0","7"
"L15985","ImageFlipbookRenderer.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/chart/ImageFlipbookRenderer.java","L15981","0","56","101","3","1","8"
"L15986","StatisticsChartRenderer.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/chart/StatisticsChartRenderer.java","L15981","0","98","148","13","0","9"
"L15987","TableChartRenderer.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/chart/TableChartRenderer.java","L15981","0","56","98","3","0","9"
"L15988","TimePeriodChartRenderer.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/chart/TimePeriodChartRenderer.java","L15981","0","71","121","4","2","9"
"L16239","AnalogGraphicComponent.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/component/AnalogGraphicComponent.java","L16238","0","63","110","8","1","6"
"L16240","BinaryGraphicComponent.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/component/BinaryGraphicComponent.java","L16238","0","74","119","10","1","7"
